city,2016 population,source,2017 population,source,2018 population,source
New York,8.469 million,https://www.google.com/search?q=2016+new+york+population&sca_esv=81d5b100b0acc6c3&sca_upv=1&sxsrf=ADLYWIKA4Dwus8CZexqSz1xdp0cemdPU2g%3A1723414153422&ei=iTa5ZsDAGfWzhbIP_7HAkAc&ved=0ahUKEwiAqamD-u2HAxX1WUEAHf8YEHIQ4dUDCBA&uact=5&oq=2016+new+york+population&gs_lp=Egxnd3Mtd2l6LXNlcnAiGDIwMTYgbmV3IHlvcmsgcG9wdWxhdGlvbjIEECMYJzIKEAAYBxgIGAoYHjIIEAAYBRgHGB4yBhAAGAgYHjIIEAAYgAQYogQyCBAAGIAEGKIEMggQABiABBiiBEiPJlCWCFj2InADeAGQAQCYAfQCoAHzF6oBBTItNy4zuAEDyAEA-AEBmAIHoAKVCcICChAAGLADGNYEGEfCAgsQABiABBiGAxiKBcICBxAjGLACGCfCAggQABgIGA0YHsICCBAhGKABGMMEwgIIEAAYBxgIGB6YAwDiAwUSATEgQIgGAZAGCJIHBTMuMC40oAe0Qw&sclient=gws-wiz-serp,8.438 million,https://www.google.com/search?q=2017+new+york+population&sca_esv=81d5b100b0acc6c3&sca_upv=1&sxsrf=ADLYWIKCjhbhcAWEFCQDj_SE0kKU19ixyQ%3A1723414186929&ei=qja5Zq2xOJi2hbIPxOCrsQE&ved=0ahUKEwitrqaT-u2HAxUYW0EAHUTwKhYQ4dUDCBA&uact=5&oq=2017+new+york+population&gs_lp=Egxnd3Mtd2l6LXNlcnAiGDIwMTcgbmV3IHlvcmsgcG9wdWxhdGlvbjIEECMYJzIGEAAYCBgeMgsQABiABBiGAxiKBTILEAAYgAQYhgMYigUyCxAAGIAEGIYDGIoFMggQABiABBiiBEjgG1CtCVjQF3ACeAGQAQCYAbkCoAGRB6oBBTItMS4yuAEDyAEA-AEBmAIFoAKiB8ICChAAGLADGNYEGEfCAgYQABgHGB7CAggQABgHGAgYHpgDAIgGAZAGCJIHBzIuMC4xLjKgB7cT&sclient=gws-wiz-serp,8.397 million,https://www.google.com/search?q=2018+new+york+population&sca_esv=81d5b100b0acc6c3&sca_upv=1&sxsrf=ADLYWIJ51INMzYXC9e8oK4kX1x82qYiUkw%3A1723414233979&ei=2Ta5ZpjDO82rhbIP6uzJ6Ao&ved=0ahUKEwjYk96p-u2HAxXNVUEAHWp2Eq0Q4dUDCBA&uact=5&oq=2018+new+york+population&gs_lp=Egxnd3Mtd2l6LXNlcnAiGDIwMTggbmV3IHlvcmsgcG9wdWxhdGlvbjIKEAAYsAMY1gQYRzIKEAAYsAMY1gQYRzIKEAAYsAMY1gQYRzIKEAAYsAMY1gQYRzIKEAAYsAMY1gQYRzIKEAAYsAMY1gQYRzIKEAAYsAMY1gQYRzIKEAAYsAMY1gQYR0ijeVAAWABwAXgBkAEAmAEAoAEAqgEAuAEDyAEAmAIBoAIDmAMAiAYBkAYIkgcBMaAHAA&sclient=gws-wiz-serp
Chicago,2.716 million,https://www.google.com/search?q=2016+ochicago+population&sca_esv=81d5b100b0acc6c3&sca_upv=1&sxsrf=ADLYWIJzQhW-Q4xFzFSENd-HiUV5o_h3Hg%3A1723414111453&ei=Xza5Zsu2G4GHhbIP-IbKyQ8&ved=0ahUKEwiL4qfv-e2HAxWBQ0EAHXiDMvkQ4dUDCBA&uact=5&oq=2016+ochicago+population&gs_lp=Egxnd3Mtd2l6LXNlcnAiGDIwMTYgb2NoaWNhZ28gcG9wdWxhdGlvbjIHECMYsAIYJzIIEAAYCBgNGB4yCBAAGKIEGIkFMggQABiABBiiBDIIEAAYogQYiQUyCBAAGIAEGKIEMggQABiABBiiBEiiH1C6B1jLG3ABeAGQAQCYAcgCoAH_EqoBBTItNC40uAEDyAEA-AEBmAIEoAKGB8ICChAAGLADGNYEGEfCAggQIRigARjDBJgDAIgGAZAGCJIHBzEuMC4yLjGgB_kx&sclient=gws-wiz-serp,2.71 million,https://www.google.com/search?q=2017+chicago+population&sca_esv=81d5b100b0acc6c3&sca_upv=1&sxsrf=ADLYWIIY4_MIYPM_yEnVqhi7bEZhmjReZQ%3A1723410056053&ei=iCa5ZtHwAtuHhbIP992PwAs&ved=0ahUKEwjR1MXh6u2HAxXbQ0EAHffuA7gQ4dUDCBA&uact=5&oq=2017+chicago+population&gs_lp=Egxnd3Mtd2l6LXNlcnAiFzIwMTcgY2hpY2FnbyBwb3B1bGF0aW9uMgYQABgIGB4yCBAAGIAEGKIEMggQABiiBBiJBTIIEAAYgAQYogQyCBAAGKIEGIkFMggQABiABBiiBEiFdlDwCVjnbnABeAGQAQCYAbYCoAHlBKoBAzMtMrgBA8gBAPgBAZgCA6AC7wTCAgoQABiwAxjWBBhHwgIIEAAYBxgeGA_CAggQABgHGAgYHpgDAIgGAZAGCJIHBTEuMy0yoAf2Cw&sclient=gws-wiz-serp,2.701 million,https://www.google.com/search?q=2018+chicago+population&sca_esv=81d5b100b0acc6c3&sca_upv=1&sxsrf=ADLYWIKH2t9l_PcGm0TP9sqO4940PoQcbw%3A1723410111646&ei=vya5ZvuVJ4ewhbIP8cjR0AM&ved=0ahUKEwi78Yb86u2HAxUHWEEAHXFkFDoQ4dUDCBA&uact=5&oq=2018+chicago+population&gs_lp=Egxnd3Mtd2l6LXNlcnAiFzIwMTggY2hpY2FnbyBwb3B1bGF0aW9uMgYQABgIGB4yCxAAGIAEGIYDGIoFMgsQABiABBiGAxiKBTIIEAAYogQYiQUyCBAAGIAEGKIEMggQABiiBBiJBTIIEAAYgAQYogRIxtsGULHUBliB1wZwA3gBkAEAmAG9AqAB9gSqAQMzLTK4AQPIAQD4AQGYAgWgAoYFwgIKEAAYsAMY1gQYR8ICCBAAGAcYHhgPwgIIEAAYBxgIGB6YAwCIBgGQBgiSBwUzLjMtMqAHnww&sclient=gws-wiz-serp
Los Angeles,3.958 million,https://www.google.com/search?q=2016+los+angeles+population&sca_esv=81d5b100b0acc6c3&sca_upv=1&sxsrf=ADLYWIJz2Fu9fGG5YYRrMLsyD3ig_61NIw%3A1723410874415&ei=uim5ZumJGYe0hbIPna_auAQ&ved=0ahUKEwjpzuLn7e2HAxUHWkEAHZ2XFkcQ4dUDCBA&uact=5&oq=2016+los+angeles+population&gs_lp=Egxnd3Mtd2l6LXNlcnAiGzIwMTYgbG9zIGFuZ2VsZXMgcG9wdWxhdGlvbjIGEAAYCBgeMgsQABiABBiGAxiKBTILEAAYgAQYhgMYigUyCBAAGIAEGKIEMggQABiABBiiBDIIEAAYgAQYogQyCBAAGIAEGKIESNcaUJ4LWOsQcAF4AZABAJgBzgOgAaMGqgEFMy0xLjG4AQPIAQD4AQGYAgOgAq0GwgIKEAAYsAMY1gQYR8ICCBAAGAcYCBgemAMAiAYBkAYIkgcHMS4zLTEuMaAHwQs&sclient=gws-wiz-serp,3.975 million,https://www.google.com/search?q=2017+los+angeles+population&sca_esv=81d5b100b0acc6c3&sca_upv=1&sxsrf=ADLYWILTxGjCTYq6PjhA3P8Q8U36dAUuoA%3A1723410818476&ei=gim5ZpnlHMaphbIPxtim8AU&ved=0ahUKEwiZrozN7e2HAxXGVEEAHUasCV4Q4dUDCBA&uact=5&oq=2017+los+angeles+population&gs_lp=Egxnd3Mtd2l6LXNlcnAiGzIwMTcgbG9zIGFuZ2VsZXMgcG9wdWxhdGlvbjIGEAAYCBgeMggQABiABBiiBDIIEAAYgAQYogRI1CVQ5xhY6xtwA3gBkAEAmAG8AqAB4gSqAQUyLTEuMbgBA8gBAPgBAZgCBaAC9QTCAgoQABiwAxjWBBhHwgIIEAAYBxgIGB6YAwCIBgGQBgiSBwczLjAuMS4xoAfiCQ&sclient=gws-wiz-serp,3.981 million,https://www.google.com/search?q=2018+los+angeles+population&sca_esv=81d5b100b0acc6c3&sca_upv=1&sxsrf=ADLYWIJjBw-_crCWOG-futBQLDtCO2rHxQ%3A1723410675969&ei=8yi5ZvHqOsCmhbIPqO-EoAg&ved=0ahUKEwixsJKJ7e2HAxVAU0EAHag3AYQQ4dUDCBA&uact=5&oq=2018+los+angeles+population&gs_lp=Egxnd3Mtd2l6LXNlcnAiGzIwMTggbG9zIGFuZ2VsZXMgcG9wdWxhdGlvbjIGEAAYCBgeMggQABiABBiiBDIIEAAYgAQYogQyCBAAGIAEGKIESMeRAVCeGViNeHACeAGQAQCYAboEoAHyMKoBCTItOS44LjEuMbgBA8gBAPgBAZgCCaAC5BHCAgoQABiwAxjWBBhHwgIGEAAYBxgewgIIEAAYBxgIGB7CAgoQIRigARjDBBgKmAMAiAYBkAYIkgcJMi4wLjUuMS4xoAe8cw&sclient=gws-wiz-serp
Miami,"448,789",https://www.google.com/search?q=2016+miami+population&sca_esv=81d5b100b0acc6c3&sca_upv=1&sxsrf=ADLYWIKq7KV2Khzfdw5U1uP7UgEGLnADSA%3A1723410939879&ei=-ym5Zt-qNfakhbIPnYyIQA&ved=0ahUKEwiflP6G7u2HAxV2UkEAHR0GAggQ4dUDCBA&uact=5&oq=2016+miami+population&gs_lp=Egxnd3Mtd2l6LXNlcnAiFTIwMTYgbWlhbWkgcG9wdWxhdGlvbjIIECEYoAEYwwQyCBAhGKABGMMEMggQIRigARjDBDIIECEYoAEYwwRIlC5QyRBYnypwAXgBkAEAmAHrAqAB1yWqAQUyLTkuN7gBA8gBAPgBAZgCA6ACxQTCAgoQABiwAxjWBBhHwgIGEAAYBxgemAMAiAYBkAYIkgcFMS4wLjKgB-Fh&sclient=gws-wiz-serp,"455,925",https://www.google.com/search?q=2017+miami+population&sca_esv=81d5b100b0acc6c3&sca_upv=1&sxsrf=ADLYWIJ9YlJWzOA66QhRrztgMCMTbvx6GA%3A1723410989845&ei=LSq5Zu6pM7WthbIP0pOokAI&ved=0ahUKEwiu9Oee7u2HAxW1VkEAHdIJCiIQ4dUDCBA&uact=5&oq=2017+miami+population&gs_lp=Egxnd3Mtd2l6LXNlcnAiFTIwMTcgbWlhbWkgcG9wdWxhdGlvbjIIEAAYgAQYogQyCBAAGIAEGKIEMggQABiABBiiBEiwHFD6EFjlE3ABeAGQAQCYAcECoAHuBKoBAzMtMrgBA8gBAPgBAZgCA6AC-ATCAgoQABiwAxjWBBhHwgIIEAAYBxgIGB7CAgsQABiABBiGAxiKBcICCBAAGKIEGIkFmAMAiAYBkAYIkgcFMS4zLTKgB4kJ&sclient=gws-wiz-serp,"461,962",https://www.google.com/search?q=2018+miami+population&sca_esv=81d5b100b0acc6c3&sca_upv=1&sxsrf=ADLYWIILDBE9H1QdS1QGKZx1KtX5jr6GTg%3A1723411027093&ei=Uyq5ZvuwBeaohbIPm8Sk8QM&ved=0ahUKEwi7psmw7u2HAxVmVEEAHRsiKT4Q4dUDCBA&uact=5&oq=2018+miami+population&gs_lp=Egxnd3Mtd2l6LXNlcnAiFTIwMTggbWlhbWkgcG9wdWxhdGlvbjIIEAAYgAQYogQyCBAAGIAEGKIEMggQABiABBiiBDIIEAAYgAQYogQyCBAAGIAEGKIESOYUUJMJWNIMcAF4AZABAJgBwQKgAf4EqgEDMy0yuAEDyAEA-AEBmAIDoAKHBcICChAAGLADGNYEGEfCAggQABgHGAgYHsICCxAAGIAEGIYDGIoFwgIIEAAYogQYiQWYAwCIBgGQBgiSBwUxLjMtMqAHigo&sclient=gws-wiz-serp
Silicon Valley,3.5 million,https://www.google.com/search?q=2016+silicon+valley+population&sca_esv=81d5b100b0acc6c3&sca_upv=1&sxsrf=ADLYWIL6jtvmy_7-3qVJxt5wQeSHeIvOsA%3A1723411125587&ei=tSq5ZsDOI4uqhbIPh5qYmAw&ved=0ahUKEwiA_cTf7u2HAxULVUEAHQcNBsMQ4dUDCBA&uact=5&oq=2016+silicon+valley+population&gs_lp=Egxnd3Mtd2l6LXNlcnAiHjIwMTYgc2lsaWNvbiB2YWxsZXkgcG9wdWxhdGlvbjIIEAAYgAQYogQyCBAAGIAEGKIEMggQABiABBiiBEiBFFC7B1iiDXABeAGQAQCYAbUCoAHhBKoBAzMtMrgBA8gBAPgBAZgCA6AC5wTCAgoQABiwAxjWBBhHmAMAiAYBkAYIkgcFMS4zLTKgB7oE&sclient=gws-wiz-serp,3.51 million,https://www.google.com/search?q=2016+silicon+valley+population&sca_esv=81d5b100b0acc6c3&sca_upv=1&sxsrf=ADLYWIL6jtvmy_7-3qVJxt5wQeSHeIvOsA%3A1723411125587&ei=tSq5ZsDOI4uqhbIPh5qYmAw&ved=0ahUKEwiA_cTf7u2HAxULVUEAHQcNBsMQ4dUDCBA&uact=5&oq=2016+silicon+valley+population&gs_lp=Egxnd3Mtd2l6LXNlcnAiHjIwMTYgc2lsaWNvbiB2YWxsZXkgcG9wdWxhdGlvbjIIEAAYgAQYogQyCBAAGIAEGKIEMggQABiABBiiBEiBFFC7B1iiDXABeAGQAQCYAbUCoAHhBKoBAzMtMrgBA8gBAPgBAZgCA6AC5wTCAgoQABiwAxjWBBhHmAMAiAYBkAYIkgcFMS4zLTKgB7oE&sclient=gws-wiz-serp,3.52 million,https://www.google.com/search?q=2016+silicon+valley+population&sca_esv=81d5b100b0acc6c3&sca_upv=1&sxsrf=ADLYWIL6jtvmy_7-3qVJxt5wQeSHeIvOsA%3A1723411125587&ei=tSq5ZsDOI4uqhbIPh5qYmAw&ved=0ahUKEwiA_cTf7u2HAxULVUEAHQcNBsMQ4dUDCBA&uact=5&oq=2016+silicon+valley+population&gs_lp=Egxnd3Mtd2l6LXNlcnAiHjIwMTYgc2lsaWNvbiB2YWxsZXkgcG9wdWxhdGlvbjIIEAAYgAQYogQyCBAAGIAEGKIEMggQABiABBiiBEiBFFC7B1iiDXABeAGQAQCYAbUCoAHhBKoBAzMtMrgBA8gBAPgBAZgCA6AC5wTCAgoQABiwAxjWBBhHmAMAiAYBkAYIkgcFMS4zLTKgB7oE&sclient=gws-wiz-serp
Orange County,3.164 million,https://www.google.com/search?q=2016+orange+county+population&sca_esv=81d5b100b0acc6c3&sca_upv=1&sxsrf=ADLYWIJaoI-K0PpnNCQmS-XqEw6Wk38cHg%3A1723414076225&ei=PDa5Zv26DdilhbIPtsyzgAQ&ved=0ahUKEwj9yMHe-e2HAxXYUkEAHTbmDEAQ4dUDCBA&uact=5&oq=2016+orange+county+population&gs_lp=Egxnd3Mtd2l6LXNlcnAiHTIwMTYgb3JhbmdlIGNvdW50eSBwb3B1bGF0aW9uMgQQIxgnMggQABiABBiiBDIIEAAYgAQYogQyCBAAGIAEGKIEMggQABiiBBiJBTIIEAAYogQYiQVI0BtQhQ9YwBVwAXgBkAEAmAG3AqAB5gSqAQMzLTK4AQPIAQD4AQGYAgOgAvQEwgIKEAAYsAMY1gQYR5gDAIgGAZAGCJIHBTEuMy0yoAf0Bw&sclient=gws-wiz-serp,3.174 million ,https://www.google.com/search?q=2017+orange+county+population&sca_esv=81d5b100b0acc6c3&sca_upv=1&sxsrf=ADLYWILut2IOfjuiQjfhlWYeumUnybMGOQ%3A1723414049991&ei=ITa5ZrOePKeehbIP0r2XqQQ&ved=0ahUKEwjzsoDS-e2HAxUnT0EAHdLeJUUQ4dUDCBA&uact=5&oq=2017+orange+county+population&gs_lp=Egxnd3Mtd2l6LXNlcnAiHTIwMTcgb3JhbmdlIGNvdW50eSBwb3B1bGF0aW9uMgQQIxgnMggQABiiBBiJBTIIEAAYogQYiQUyCBAAGIAEGKIEMggQABiiBBiJBTIIEAAYgAQYogRIuBtQrAtYsA5wAXgBkAEAmAH9AqABowWqAQUyLTEuMbgBA8gBAPgBAZgCA6ACrAXCAgoQABiwAxjWBBhHmAMAiAYBkAYIkgcHMS4wLjEuMaAH0gc&sclient=gws-wiz-serp,3.176 million,https://www.google.com/search?q=2018+orange+county+population&sca_esv=81d5b100b0acc6c3&sca_upv=1&sxsrf=ADLYWILTxGjCTYq6PjhA3P8Q8U36dAUuoA%3A1723410818476&ei=gim5ZpnlHMaphbIPxtim8AU&ved=0ahUKEwiZrozN7e2HAxXGVEEAHUasCV4Q4dUDCBA&uact=5&oq=2018+orange+county+population&gs_lp=Egxnd3Mtd2l6LXNlcnAiHTIwMTggb3JhbmdlIGNvdW50eSBwb3B1bGF0aW9uMgQQIxgnMggQABiABBiiBDIIEAAYgAQYogQyCBAAGIAEGKIEMggQABiABBiiBEiQPVC4D1jIOnABeAGQAQGYAaoEoAHoKKoBCTItOS41LjEuMbgBA8gBAPgBAZgCBqACuwvCAgoQABiwAxjWBBhHwgIHEAAYgAQYDcICCBAAGAcYCBgewgIGEAAYBxgewgIKECEYoAEYwwQYCsICBxAjGLACGCeYAwCIBgGQBgiSBwcxLjAuNC4xoAfaYA&sclient=gws-wiz-serp
